method,k,workload,n,mean_tps,median_tps,mean_latency_s,median_latency_s,mean_output_tokens,mean_acceptance_rate,mean_rejection_rate,mean_entropy,total_draft_tokens,total_accepted_tokens,total_rejected_tokens,wasted_token_rate,accepted_token_rate,wasted_token_pct
eagle3,8,hardware_gen,50,119.39759887284129,116.94052283692955,4.282279714345932,4.378298262832686,508.32,0.010275965860082469,0.9897240341399174,0.2772064039404662,188120.0,1854.0,186266.0,0.9901445885604933,0.009855411439506698,99.01445885604933
eagle3,8,long_chain_reasoning,50,135.97709591010207,123.98690291656564,7.839448269233108,8.259046104038134,1024.0,0.021040199402846432,0.9789598005971536,0.3009269687610711,364008.0,5655.0,358353.0,0.9844646271510517,0.015535372848948376,98.44646271510517
eagle3,8,long_context_completion,50,119.20551593786855,116.45566122984532,15.068564022937789,17.381343795219436,1829.92,0.011636313112003065,0.9883636868879969,0.09279639872923104,678688.0,6614.0,672074.0,0.9902547267669386,0.009745273233061437,99.02547267669387
eagle3,8,long_horizon_swe,50,121.61338511733753,121.83024513786367,8.40041920201853,8.403302895603701,1020.94,0.00613102502234677,0.9938689749776531,0.2333676626034234,389104.0,2359.0,386745.0,0.9939373535096016,0.006062646490398454,99.39373535096016
eagle3,8,mathematical_reasoning,50,126.83380693144532,126.31797057149387,4.043381323851645,4.053267023991793,510.84,0.013857001227534606,0.9861429987724654,0.23038927153380104,183936.0,2506.0,181430.0,0.986375695894224,0.013624304105775921,98.6375695894224
eagle3,16,code_gen,50,82.90824802056291,82.74005700639123,6.193310757139698,6.188056562561542,512.0,0.00490187545221798,0.995098124547782,0.1945684997415934,379728.0,1819.0,377909.0,0.9952097290692286,0.0047902709307715,99.52097290692285
eagle3,16,conversational_generation_gen,50,80.11607014784857,79.9504351638019,6.399663040190935,6.403970011509955,512.0,0.003667440309855732,0.9963325596901442,0.38620324543358636,386432.0,1403.0,385029.0,0.9963693482941371,0.0036306517058628685,99.63693482941372
eagle3,16,conversational_generation_sft,50,79.69348745400548,79.50128775466366,6.435482133897022,6.440147682093084,512.0,0.003452458819522864,0.9965475411804771,0.38910060627600296,387808.0,1315.0,386493.0,0.9966091467942899,0.003390853205710042,99.660914679429
eagle3,16,hardware_gen,50,79.10866277930052,78.13102234914915,6.4548777591064574,6.553095581009984,508.32,0.005205183705581295,0.9947948162944187,0.27973166159134694,376000.0,1871.0,374129.0,0.9950239361702128,0.004976063829787234,99.50239361702128
eagle3,16,long_chain_reasoning,50,89.43137195312391,81.2991995189158,11.898481435449794,12.595458477037027,1024.0,0.010482539057464388,0.9895174609425355,0.29808163263444754,728464.0,5628.0,722836.0,0.9922741549342178,0.007725845065782249,99.22741549342177
